DateTime,Wind,Solar
02.01.2023 21:45 - 02.01.2023 22:00 (CET/CEST),21009,2
02.01.2023 22:00 - 02.01.2023 22:15 (CET/CEST),20550,2
02.01.2023 22:15 - 02.01.2023 22:30 (CET/CEST),20449,2
02.01.2023 22:30 - 02.01.2023 22:45 (CET/CEST),20274,2
02.01.2023 22:45 - 02.01.2023 23:00 (CET/CEST),20230,2
02.01.2023 23:00 - 02.01.2023 23:15 (CET/CEST),20022,2
02.01.2023 23:15 - 02.01.2023 23:30 (CET/CEST),19936,2
02.01.2023 23:30 - 02.01.2023 23:45 (CET/CEST),19671,1
02.01.2023 23:45 - 03.01.2023 00:00 (CET/CEST),19538,2
03.01.2023 00:00 - 03.01.2023 00:15 (CET/CEST),19235,2
03.01.2023 00:15 - 03.01.2023 00:30 (CET/CEST),19159,1
03.01.2023 00:30 - 03.01.2023 00:45 (CET/CEST),19099,1
03.01.2023 00:45 - 03.01.2023 01:00 (CET/CEST),18724,1
03.01.2023 01:00 - 03.01.2023 01:15 (CET/CEST),18379,2
03.01.2023 01:15 - 03.01.2023 01:30 (CET/CEST),18236,2
03.01.2023 01:30 - 03.01.2023 01:45 (CET/CEST),17893,1
03.01.2023 01:45 - 03.01.2023 02:00 (CET/CEST),17726,1
03.01.2023 02:00 - 03.01.2023 02:15 (CET/CEST),17446,2
03.01.2023 02:15 - 03.01.2023 02:30 (CET/CEST),16934,2
03.01.2023 02:30 - 03.01.2023 02:45 (CET/CEST),16432,2
03.01.2023 02:45 - 03.01.2023 03:00 (CET/CEST),15970,2
03.01.2023 03:00 - 03.01.2023 03:15 (CET/CEST),15664,2
03.01.2023 03:15 - 03.01.2023 03:30 (CET/CEST),15467,2
03.01.2023 03:30 - 03.01.2023 03:45 (CET/CEST),15323,2
03.01.2023 03:45 - 03.01.2023 04:00 (CET/CEST),15140,2
03.01.2023 04:00 - 03.01.2023 04:15 (CET/CEST),14676,2
03.01.2023 04:15 - 03.01.2023 04:30 (CET/CEST),14261,2
03.01.2023 04:30 - 03.01.2023 04:45 (CET/CEST),13914,2
03.01.2023 04:45 - 03.01.2023 05:00 (CET/CEST),13653,2
03.01.2023 05:00 - 03.01.2023 05:15 (CET/CEST),13270,2
03.01.2023 05:15 - 03.01.2023 05:30 (CET/CEST),13192,2
03.01.2023 05:30 - 03.01.2023 05:45 (CET/CEST),12997,2
03.01.2023 05:45 - 03.01.2023 06:00 (CET/CEST),12770,2
03.01.2023 06:00 - 03.01.2023 06:15 (CET/CEST),12738,2
03.01.2023 06:15 - 03.01.2023 06:30 (CET/CEST),12573,2
03.01.2023 06:30 - 03.01.2023 06:45 (CET/CEST),12413,2
03.01.2023 06:45 - 03.01.2023 07:00 (CET/CEST),12231,2
03.01.2023 07:00 - 03.01.2023 07:15 (CET/CEST),12174,3
03.01.2023 07:15 - 03.01.2023 07:30 (CET/CEST),12072,2
03.01.2023 07:30 - 03.01.2023 07:45 (CET/CEST),12201,2
03.01.2023 07:45 - 03.01.2023 08:00 (CET/CEST),12197,3
03.01.2023 08:00 - 03.01.2023 08:15 (CET/CEST),12015,5
03.01.2023 08:15 - 03.01.2023 08:30 (CET/CEST),11788,27
03.01.2023 08:30 - 03.01.2023 08:45 (CET/CEST),11559,223
03.01.2023 08:45 - 03.01.2023 09:00 (CET/CEST),11463,666
03.01.2023 09:00 - 03.01.2023 09:15 (CET/CEST),11187,1305
03.01.2023 09:15 - 03.01.2023 09:30 (CET/CEST),10791,2016
03.01.2023 09:30 - 03.01.2023 09:45 (CET/CEST),10536,2758
03.01.2023 09:45 - 03.01.2023 10:00 (CET/CEST),10448,3658
03.01.2023 10:00 - 03.01.2023 10:15 (CET/CEST),10210,4511
03.01.2023 10:15 - 03.01.2023 10:30 (CET/CEST),9517,5402
03.01.2023 10:30 - 03.01.2023 10:45 (CET/CEST),8995,6335
03.01.2023 10:45 - 03.01.2023 11:00 (CET/CEST),8527,7269
03.01.2023 11:00 - 03.01.2023 11:15 (CET/CEST),8124,8205
03.01.2023 11:15 - 03.01.2023 11:30 (CET/CEST),7814,8962
03.01.2023 11:30 - 03.01.2023 11:45 (CET/CEST),7473,9640
03.01.2023 11:45 - 03.01.2023 12:00 (CET/CEST),7237,10108
03.01.2023 12:00 - 03.01.2023 12:15 (CET/CEST),7190,10412
03.01.2023 12:15 - 03.01.2023 12:30 (CET/CEST),7287,10207
03.01.2023 12:30 - 03.01.2023 12:45 (CET/CEST),7426,10059
03.01.2023 12:45 - 03.01.2023 13:00 (CET/CEST),7562,9744
03.01.2023 13:00 - 03.01.2023 13:15 (CET/CEST),7542,9343
03.01.2023 13:15 - 03.01.2023 13:30 (CET/CEST),7557,8690
03.01.2023 13:30 - 03.01.2023 13:45 (CET/CEST),7523,8093
03.01.2023 13:45 - 03.01.2023 14:00 (CET/CEST),7511,7411
03.01.2023 14:00 - 03.01.2023 14:15 (CET/CEST),7307,6681
03.01.2023 14:15 - 03.01.2023 14:30 (CET/CEST),7194,5922
03.01.2023 14:30 - 03.01.2023 14:45 (CET/CEST),7197,5041
03.01.2023 14:45 - 03.01.2023 15:00 (CET/CEST),7083,4162
03.01.2023 15:00 - 03.01.2023 15:15 (CET/CEST),7113,3284
03.01.2023 15:15 - 03.01.2023 15:30 (CET/CEST),7036,2408
03.01.2023 15:30 - 03.01.2023 15:45 (CET/CEST),7158,1544
03.01.2023 15:45 - 03.01.2023 16:00 (CET/CEST),7448,836
03.01.2023 16:00 - 03.01.2023 16:15 (CET/CEST),7789,354
03.01.2023 16:15 - 03.01.2023 16:30 (CET/CEST),8207,104
03.01.2023 16:30 - 03.01.2023 16:45 (CET/CEST),8633,19
03.01.2023 16:45 - 03.01.2023 17:00 (CET/CEST),9216,8
03.01.2023 17:00 - 03.01.2023 17:15 (CET/CEST),9916,5
03.01.2023 17:15 - 03.01.2023 17:30 (CET/CEST),10595,5
03.01.2023 17:30 - 03.01.2023 17:45 (CET/CEST),11228,4
03.01.2023 17:45 - 03.01.2023 18:00 (CET/CEST),11768,2
03.01.2023 18:00 - 03.01.2023 18:15 (CET/CEST),12287,2
03.01.2023 18:15 - 03.01.2023 18:30 (CET/CEST),12828,2
03.01.2023 18:30 - 03.01.2023 18:45 (CET/CEST),13644,2
03.01.2023 18:45 - 03.01.2023 19:00 (CET/CEST),14458,3
03.01.2023 19:00 - 03.01.2023 19:15 (CET/CEST),15194,2
03.01.2023 19:15 - 03.01.2023 19:30 (CET/CEST),16047,2
03.01.2023 19:30 - 03.01.2023 19:45 (CET/CEST),16932,2
03.01.2023 19:45 - 03.01.2023 20:00 (CET/CEST),17515,2
03.01.2023 20:00 - 03.01.2023 20:15 (CET/CEST),18523,2
03.01.2023 20:15 - 03.01.2023 20:30 (CET/CEST),19366,2
03.01.2023 20:30 - 03.01.2023 20:45 (CET/CEST),20345,2
03.01.2023 20:45 - 03.01.2023 21:00 (CET/CEST),21034,2
03.01.2023 21:00 - 03.01.2023 21:15 (CET/CEST),21704,2
03.01.2023 21:15 - 03.01.2023 21:30 (CET/CEST),22251,2
03.01.2023 21:30 - 03.01.2023 21:45 (CET/CEST),22765,2
03.01.2023 21:45 - 03.01.2023 22:00 (CET/CEST),23131,2
03.01.2023 22:00 - 03.01.2023 22:15 (CET/CEST),23099,3
03.01.2023 22:15 - 03.01.2023 22:30 (CET/CEST),23606,2
03.01.2023 22:30 - 03.01.2023 22:45 (CET/CEST),24012,2
03.01.2023 22:45 - 03.01.2023 23:00 (CET/CEST),24518,2
03.01.2023 23:00 - 03.01.2023 23:15 (CET/CEST),24992,3
03.01.2023 23:15 - 03.01.2023 23:30 (CET/CEST),25752,2
03.01.2023 23:30 - 03.01.2023 23:45 (CET/CEST),26285,2
03.01.2023 23:45 - 04.01.2023 00:00 (CET/CEST),26835,2
04.01.2023 00:00 - 04.01.2023 00:15 (CET/CEST),27159,2
04.01.2023 00:15 - 04.01.2023 00:30 (CET/CEST),27684,2
04.01.2023 00:30 - 04.01.2023 00:45 (CET/CEST),28106,2
04.01.2023 00:45 - 04.01.2023 01:00 (CET/CEST),28268,2
04.01.2023 01:00 - 04.01.2023 01:15 (CET/CEST),28977,2
04.01.2023 01:15 - 04.01.2023 01:30 (CET/CEST),29774,2
04.01.2023 01:30 - 04.01.2023 01:45 (CET/CEST),30006,2
04.01.2023 01:45 - 04.01.2023 02:00 (CET/CEST),30182,2
04.01.2023 02:00 - 04.01.2023 02:15 (CET/CEST),30081,3
04.01.2023 02:15 - 04.01.2023 02:30 (CET/CEST),30274,2
04.01.2023 02:30 - 04.01.2023 02:45 (CET/CEST),30232,2
04.01.2023 02:45 - 04.01.2023 03:00 (CET/CEST),30047,2
04.01.2023 03:00 - 04.01.2023 03:15 (CET/CEST),29163,2
04.01.2023 03:15 - 04.01.2023 03:30 (CET/CEST),29393,2
04.01.2023 03:30 - 04.01.2023 03:45 (CET/CEST),29456,2
04.01.2023 03:45 - 04.01.2023 04:00 (CET/CEST),29308,2
